unix,low,high,open,close,volume,date,vol_fiat
1556064000,0.2607,0.2875,0.2862,0.2708,3310041,2019-04-24,896359.1028
1555977600,0.2861,0.2925,0.2881,0.2863,1390966,2019-04-23,398233.5658
1555891200,0.2844,0.296,0.2876,0.288,1253775,2019-04-22,361087.19999999995
1555804800,0.2826,0.2935,0.2928,0.2876,706583,2019-04-21,203213.27080000003
1555718400,0.2886,0.2974,0.2957,0.2925,522266,2019-04-20,152762.805
1555632000,0.2921,0.2991,0.2991,0.2961,941128,2019-04-19,278668.0008
1555545600,0.2978,0.311,0.2978,0.2996,1448030,2019-04-18,433829.78799999994
1555459200,0.2842,0.3037,0.2891,0.297,2019711,2019-04-17,599854.167
1555372800,0.2802,0.2899,0.2827,0.2891,1646510,2019-04-16,476006.041
1555286400,0.2789,0.2946,0.2926,0.2832,1312440,2019-04-15,371683.00800000003
1555200000,0.2866,0.2951,0.2894,0.2922,604586,2019-04-14,176660.02920000002
1555113600,0.2865,0.2987,0.2884,0.2899,1081304,2019-04-13,313470.0296
1555027200,0.28,0.2934,0.2926,0.2895,1907771,2019-04-12,552299.7045
1554940800,0.2855,0.3151,0.3148,0.2932,2298792,2019-04-11,674005.8144
1554854400,0.3106,0.3229,0.3111,0.3148,1786658,2019-04-10,562439.9384000001
1554768000,0.3102,0.3193,0.3193,0.3114,1023106,2019-04-09,318595.2084
1554681600,0.3121,0.3315,0.323,0.3191,1976747,2019-04-08,630779.9677
1554595200,0.3137,0.3273,0.3163,0.3246,1247497,2019-04-07,404937.5262
1554508800,0.3105,0.3249,0.3244,0.3164,2294049,2019-04-06,725837.1036
1554422400,0.2951,0.3439,0.2951,0.3243,5122137,2019-04-05,1661109.0291
1554336000,0.2832,0.3132,0.3059,0.295,2946295,2019-04-04,869157.0249999999
1554249600,0.2826,0.3348,0.3159,0.3059,5733974,2019-04-03,1754022.6466
1554163200,0.2756,0.3212,0.2792,0.3165,4862552,2019-04-02,1538997.708
1554076800,0.2744,0.28,0.2744,0.2792,956117,2019-04-01,266947.8664
1553990400,0.2741,0.278,0.2764,0.2752,591682,2019-03-31,162830.8864
1553904000,0.2734,0.2829,0.2742,0.2772,803578,2019-03-30,222751.8216
1553817600,0.2706,0.2762,0.2723,0.2736,989920,2019-03-29,270842.112
1553731200,0.2701,0.2745,0.2745,0.2724,647494,2019-03-28,176377.3656
1553644800,0.2655,0.275,0.2674,0.275,1105801,2019-03-27,304095.275
1553558400,0.2607,0.2671,0.2666,0.2671,1073242,2019-03-26,286662.93820000003
1553472000,0.2644,0.2712,0.2712,0.2669,986876,2019-03-25,263397.20440000005
1553385600,0.2692,0.2745,0.2745,0.2714,730578,2019-03-24,198278.8692
1553299200,0.2722,0.2756,0.2748,0.2748,452236,2019-03-23,124274.4528
1553212800,0.2699,0.2764,0.2719,0.2748,924025,2019-03-22,253922.06999999998
1553126400,0.2664,0.2782,0.2776,0.2725,1715800,2019-03-21,467555.50000000006
1553040000,0.2749,0.2816,0.2773,0.2774,743678,2019-03-20,206296.27719999998
1552953600,0.2754,0.2779,0.2773,0.2776,821055,2019-03-19,227924.86800000002
1552867200,0.2751,0.2799,0.2776,0.2773,1047245,2019-03-18,290401.03849999997
1552780800,0.2764,0.278,0.2775,0.2775,478909,2019-03-17,132897.2475
1552694400,0.2763,0.282,0.2766,0.2779,864186,2019-03-16,240157.28939999998
1552608000,0.2726,0.2782,0.2741,0.2768,697006,2019-03-15,192931.2608
1552521600,0.2709,0.278,0.276,0.2739,987588,2019-03-14,270500.35319999995
1552435200,0.2717,0.2897,0.2741,0.2758,1488253,2019-03-13,410460.1774
1552348800,0.2704,0.2756,0.2747,0.2738,1073963,2019-03-12,294051.0694
1552262400,0.273,0.2782,0.2778,0.2747,863233,2019-03-11,237130.1051
1552176000,0.2754,0.2805,0.2782,0.2776,538115,2019-03-10,149380.72400000002
1552089600,0.2728,0.2827,0.2734,0.2781,1101645,2019-03-09,306367.4745
1552003200,0.2693,0.2804,0.2795,0.2735,926756,2019-03-08,253467.76600000003
1551916800,0.276,0.2827,0.2794,0.2792,1572346,2019-03-07,438999.0032
1551830400,0.2741,0.2823,0.2783,0.2797,1302497,2019-03-06,364308.4109
1551744000,0.2651,0.2812,0.2664,0.2779,1423807,2019-03-05,395675.9653
1551657600,0.2624,0.2748,0.2737,0.2665,1303407,2019-03-04,347357.9655
1551571200,0.2718,0.2785,0.2778,0.2732,737640,2019-03-03,201523.248
1551484800,0.2735,0.2819,0.2791,0.2771,874555,2019-03-02,242339.1905
1551398400,0.2747,0.2853,0.2765,0.2791,3166158,2019-03-01,883674.6978000001
1551312000,0.2687,0.2794,0.2744,0.2765,1283554,2019-02-28,354902.68100000004
1551225600,0.264,0.2796,0.2784,0.273,488676,2019-02-27,133408.548
1551139200,0.2768,0.2817,0.2817,0.2784,191671,2019-02-26,53361.206399999995
